film name,binary,domgross,intgross,budget,year
  Aladdin,PASS,355559216,682244071,182000000,2019
  Alita: Battle Angel,PASS,85710210,317261058,170000000,2019
  Always Be My Maybe,PASS,,,,2019
  American Woman,PASS,236637,8799,,2019
  Anna,PASS,7743794,23174297,30000000,2019
  Annabelle Comes Home,PASS,74152591,154400000,,2019
  Article 15,FAIL,0,175151,,2019
  Avengers: Endgame,PASS,858373000,1937100000,400000000,2019
  Booksmart,PASS,22680962,1729226,,2019
  Brightburn,FAIL,17259427,15381194,7000000,2019
  Captain Marvel   ,PASS,426829839,699300000,175000000,2019
  Close   ,PASS,,,,2019
  Cold Pursuit   ,FAIL,32138862,30460297,60000000,2019
  Crawl   ,PASS,39014193,51000000,17000000,2019
  The Curse of La Llorona   ,PASS,54733739,66927656,,2019
  Dark Phoenix,PASS,65845974,180510921,200000000,2019
  Effigy – Poison and the City   ,PASS,,,,2019
  Fighting with My Family   ,PASS,22958583,15771649,11000000,2019
  Gisaengchung   ,PASS,4113934,100497169,11800000,2019
  Godzilla: King of the Monsters   ,PASS,110500138,272799777,170000000,2019
  Guava Island,FAIL,,,,2019
  Gully Boy,FAIL,4216437,1016016,,2019
  Happy Death Day 2U ,PASS,28051045,36222572,9000000,2019
  How to Train Your Dragon: The Hidden World ,FAIL,160799505,358114143,129000000,2019
  The Hustle ,PASS,35417038,59248934,21000000,2019
  I Am Mother,PASS,0,263452,,2019
  Isn't It Romantic,FAIL,48791187,0,31000000,2019
  John Wick: Chapter 3 - Parabellum   ,FAIL,171015687,154770095,40000000,2019
  The Kid Who Would Be King   ,FAIL,16790790,11506193,59000000,2019
  Late Night   ,PASS,15500045,5475174,4000000,2019
  Le chant du loup   ,FAIL,0,12402456,,2019
  The Lego Movie 2: The Second Part   ,PASS,105806508,84324528,99000000,2019
  The Lion King,PASS,543225130,1098218236,,2019
  Ma,PASS,,,,2019
  Midsommar   ,PASS,27426363,8919539,,2019
  Miss Bala   ,PASS,14998027,366605,15000000,2019
  My Little Pony: Equestria Girls: Spring Breakdown   ,PASS,,,,2019
  Nancy Drew and the Hidden Staircase   ,PASS,0,,,2019
  The Perfect Date   ,FAIL,0,,,2019
  Pokemon Detective Pikachu,PASS,144105346,285579676,150000000,2019
  Polar   ,FAIL,0,,,2019
  Rim of the World ,FAIL,,,,2019
  Serenity ,FAIL,8547045,4394550,25000000,2019
  Shazam!   ,PASS,140371656,223292877,85000000,2019
  The Silence   ,PASS,,,,2019
  Someone Great   ,PASS,0,,,2019
  Soni   ,PASS,0,,,2019
  Spider-Man: Far from Home   ,FAIL,390532085,741251268,160000000,2019
  Toy Story 4   ,PASS,433817692,636997158,,2019
  Triple Frontier,FAIL,0,,,2019
  Unplanned,PASS,19005109,314138,6000000,2019
  Us   ,PASS,175006930,80550594,20000000,2019
  The Wandering Earth (Liu Lang Di Qiu) ,PASS,0,692163684,,2019
  We Are Little Zombies ,FAIL,,,,2019
  Wine Country ,PASS,0,,,2019
10 Cloverfield Lane,PASS,72082999,36203423,15000000,2016
10 Days In A Madhouse,PASS,14616,,12000000,2016
13 Hours,FAIL,,,,2016
20th Century Women,PASS,5664763,1480125,5759879,2016
The 5th Wave,FAIL,34912982,111336398,,2016
The 9th Life of Louis Drax,FAIL,0,509487,,2016
A Cure for Wellness,FAIL,8106986,16349994,8233518,2016
A Dark Song,FAIL,0,23745,,2016
A Monster Calls,PASS,3740823,42673707,43000000,2016
A Quiet Passion,PASS,1865396,2266123,1894506,2016
A United Kingdom,PASS,3902185,11096020,170000000,2016
Absolutely Fabulous: The Movie,PASS,4772155,30900000,5025932,2016
The Accountant,FAIL,86260045,66702038,40000000,2016
Adventures in Babysitting,PASS,33790923,,78730251,2016
Alice Through the Looking Glass,PASS,77042381,199885731,170000000,2016
All Girls Weekend,PASS,0,6884,,2016
Allied,PASS,40098064,79168597,106000000,2016
Almost Christmas,PASS,42065185,428321,17000000,2016
Always Shine,PASS,16140,16990,,2016
American Honey,PASS,663247,1948503,3500000,2016
The Angry Birds Movie,FAIL,107509366,244818521,73000000,2016
Approaching the Unknown,FAIL,10232,10768,,2016
Aquarius,PASS,285930,2385576,301131,2016
Arrival,PASS,100546139,102581755,47000000,2016
Aruvi,PASS,0,863,,2016
Assassin's Creed,FAIL,54647948,186111734,125000000,2016
