FILM NAME,BINARY,DOMGROSS_2019,INTGROSS_2019,BUDGET_2019,YEAR
The Incredible Hulk (2008),FAIL,134806913,130766946,137500000,2008
Iron Man 2 (2010),PASS,312433331,308723058,170000000,2010
Thor 2 (2011),PASS,206362140,438240376,150000000,2011
Captain America: The First Avenger (2011),FAIL,176654505,193915271,140000000,2011
The Avengers (2012),FAIL,623279547,894656350,225000000,2012
Iron Man 3 (2013),PASS,408992272,806400000,200000000,2013
Thor: The Dark World 3 (2013),PASS,206362140,438240376,150000000,2013
Captain America: The Winter Soldier (2014),PASS,259746958,454654931,170000000,2014
Guardians of the Galaxy (2014),PASS,333172112,439600000,170000000,2014
Avengers: Age of Ultron (2015),PASS,459005868,944008095,330600000,2015
Ant-Man (2015),FAIL,180202163,338656286,130000000,2015
Captain America: Civil War (2016),FAIL,408084349,745200000,250000000,2016
Doctor Strange (2016),FAIL,232641920,443762646,165000000,2016
Guardians of the Galaxy 2 (2017),PASS,389813101,479300000,200000000,2017
Spider-Man: Homecoming (2017),FAIL,334201140,545965210,175000000,2017
Thor: Ragnarok (2017),FAIL,315058289,538900000,180000000,2017
Black Panther (2018),PASS,700059566,648198658,200000000,2018
Avengers: Infinity War (2018),FAIL,678815482,1369318718,300000000,2018
Ant-Man and the Wasp (2018),PASS,216648740,406495920,130000000,2018
Captain Marvel (2019),PASS,426829839,699300000,175000000,2019
Avengers: Endgame (2019),PASS,858373000,1937100000,400000000,2019
Spider-Man: Far From Home (2019),FAIL,426829839,699300000,175000000,2019
